Country,Income group,Year,Number of female business owners,Number of male business owners,Total number of business owners,Share of female business owners,Share of male business owners
Croatia,High income,2016-01-01,,,,,
Croatia,High income,2017-01-01,,,,,
Croatia,High income,2018-01-01,,,,,
Denmark,High income,2014-01-01,3715,16556,20271,0.18326673573084704,0.8167332642691529
Denmark,High income,2015-01-01,5423,21724,27147,0.19976424650974325,0.8002357534902568
Denmark,High income,2016-01-01,6286,24924,31210,0.20140980454982377,0.7985901954501762
Denmark,High income,2017-01-01,7154,28250,35404,0.20206756298723308,0.797932437012767
Denmark,High income,2018-01-01,7380,28550,35930,0.20539938769830227,0.7946006123016978
Dominica,Upper middle income,2014-01-01,157,387,544,0.28860294117647056,0.7113970588235294
Dominica,Upper middle income,2015-01-01,125,330,455,0.27472527472527475,0.7252747252747253
Dominica,Upper middle income,2016-01-01,110,320,430,0.2558139534883721,0.7441860465116279
Dominica,Upper middle income,2017-01-01,,,,,
Dominica,Upper middle income,2018-01-01,,,,,
Estonia,High income,2014-01-01,6491,14596,21087,0.3078199838763219,0.6921800161236781
Estonia,High income,2015-01-01,6588,15467,22055,0.2987077760145092,0.7012922239854908
Estonia,High income,2016-01-01,7137,15834,22971,0.31069609507640067,0.6893039049235993
Estonia,High income,2017-01-01,7158,16515,23673,0.3023697883664935,0.6976302116335066
Estonia,High income,2018-01-01,6593,16453,23046,0.28608001388527293,0.7139199861147271
Ethiopia,Low income,2014-01-01,,,,,
Ethiopia,Low income,2015-01-01,,,,,
Ethiopia,Low income,2016-01-01,,,,,
Ethiopia,Low income,2017-01-01,,,,,
Ethiopia,Low income,2018-01-01,,,,,
France,High income,2014-01-01,,,,,
France,High income,2015-01-01,,,,,
France,High income,2016-01-01,,,,,
France,High income,2017-01-01,,,,,
France,High income,2018-01-01,,,,,
Georgia,Upper middle income,2014-01-01,5799,16411,22210,0.2610986042323278,0.7389013957676722
Georgia,Upper middle income,2015-01-01,6077,16517,22594,0.2689652120031867,0.7310347879968133
Georgia,Upper middle income,2016-01-01,6747,18435,25182,0.2679294734334048,0.7320705265665952
Georgia,Upper middle income,2017-01-01,7931,20280,28211,0.28113147353869056,0.7188685264613094
Georgia,Upper middle income,2018-01-01,7218,19546,26764,0.2696906292034076,0.7303093707965924
Germany,High income,2014-01-01,13368,75548,88916,0.1503441450357641,0.8496558549642359
Germany,High income,2015-01-01,13833,78548,92381,0.14973858260897804,0.850261417391022
Germany,High income,2016-01-01,13791,80100,93891,0.14688308783589482,0.8531169121641052
Germany,High income,2017-01-01,14127,81522,95649,0.1476962644669573,0.8523037355330427
Germany,High income,2018-01-01,14408,84613,99021,0.14550448894678905,0.854495511053211
Guinea,Low income,2014-01-01,96,698,794,0.12090680100755667,0.8790931989924433
Guinea,Low income,2015-01-01,171,1284,1455,0.11752577319587629,0.8824742268041237
Guinea,Low income,2016-01-01,191,1662,1853,0.10307609282245007,0.8969239071775499
Guinea,Low income,2017-01-01,331,2015,2346,0.14109121909633418,0.8589087809036658
Guinea,Low income,2018-01-01,321,2309,2630,0.1220532319391635,0.8779467680608365
Italy,High income,2014-01-01,19867,72509,92376,0.21506668398718282,0.7849333160128171
Italy,High income,2015-01-01,21391,79172,100563,0.21271242902459156,0.7872875709754085
Italy,High income,2016-01-01,21226,81438,102664,0.20675212343177746,0.7932478765682226
Italy,High income,2017-01-01,22576,88737,111313,0.20281548426509033,0.7971845157349097
Italy,High income,2018-01-01,24377,90562,114939,0.21208641105281933,0.7879135889471807
Jamaica,Upper middle income,2014-01-01,897,1825,2722,0.3295371050698016,0.6704628949301984
Jamaica,Upper middle income,2015-01-01,1050,2173,3223,0.32578343158547934,0.6742165684145206
Jamaica,Upper middle income,2016-01-01,1197,2476,3673,0.325891641709774,0.674108358290226
Jamaica,Upper middle income,2017-01-01,1255,2791,4046,0.310182896688087,0.689817103311913
Jamaica,Upper middle income,2018-01-01,1462,3183,4645,0.3147470398277718,0.6852529601722283
Jordan,Upper middle income,2014-01-01,1166,6846,8012,0.1455317024463305,0.8544682975536695
Jordan,Upper middle income,2015-01-01,1170,5762,6932,0.16878245816503173,0.8312175418349682
Jordan,Upper middle income,2016-01-01,1017,5530,6547,0.1553383228959829,0.8446616771040171
Jordan,Upper middle income,2017-01-01,1401,7897,9298,0.1506775650677565,0.8493224349322435
Jordan,Upper middle income,2018-01-01,1322,6087,7409,0.17843163719800242,0.8215683628019975
Kazakhstan,Upper middle income,2014-01-01,7310,19012,26322,0.27771445938758454,0.7222855406124155
Kazakhstan,Upper middle income,2015-01-01,7136,18040,25176,0.2834445503654274,0.7165554496345726
Kazakhstan,Upper middle income,2016-01-01,7526,18793,26319,0.28595311372012616,0.7140468862798739
Kazakhstan,Upper middle income,2017-01-01,,,,,
Kazakhstan,Upper middle income,2018-01-01,,,,,
Kiribati,Lower middle income,2014-01-01,,,,,
Kiribati,Lower middle income,2015-01-01,,,,,
Kiribati,Lower middle income,2016-01-01,,,,,
Kiribati,Lower middle income,2017-01-01,1,7,8,0.125,0.875
Kiribati,Lower middle income,2018-01-01,1,3,4,0.25,0.75
"Korea, Rep.",High income,2014-01-01,19726,64971,84697,0.2329008111267223,0.7670991888732777
"Korea, Rep.",High income,2015-01-01,22229,71539,93768,0.23706381708045388,0.7629361829195461
"Korea, Rep.",High income,2016-01-01,23070,73085,96155,0.23992512089854923,0.7600748791014508
"Korea, Rep.",High income,2017-01-01,,,,,
"Korea, Rep.",High income,2018-01-01,,,,,
Kosovo,Upper middle income,2014-01-01,280,1820,2100,0.13333333333333333,0.8666666666666667
Kosovo,Upper middle income,2015-01-01,382,2144,2526,0.15122723673792557,0.8487727632620744
Kosovo,Upper middle income,2016-01-01,738,3255,3993,0.18482344102178813,0.8151765589782118
Kosovo,Upper middle income,2017-01-01,799,3841,4640,0.17219827586206896,0.8278017241379311
Kosovo,Upper middle income,2018-01-01,997,4356,5353,0.1862507005417523,0.8137492994582477
Lao PDR,Lower middle income,2014-01-01,67,261,328,0.20426829268292682,0.7957317073170732
Lao PDR,Lower middle income,2015-01-01,66,308,374,0.17647058823529413,0.8235294117647058
Lao PDR,Lower middle income,2016-01-01,105,385,490,0.21428571428571427,0.7857142857142857
Lao PDR,Lower middle income,2017-01-01,148,498,646,0.22910216718266255,0.7708978328173375
Lao PDR,Lower middle income,2018-01-01,180,714,894,0.20134228187919462,0.7986577181208053
Latvia,High income,2014-01-01,3188,6462,9650,0.3303626943005181,0.6696373056994819
Latvia,High income,2015-01-01,2921,6106,9027,0.32358480115209926,0.6764151988479007
Latvia,High income,2016-01-01,2747,5637,8384,0.32764790076335876,0.6723520992366412
Latvia,High income,2017-01-01,2888,5687,8575,0.3367930029154519,0.6632069970845481
Latvia,High income,2018-01-01,3197,6187,9384,0.34068627450980393,0.6593137254901961
Lesotho,Lower middle income,2014-01-01,,,,,
Lesotho,Lower middle income,2015-01-01,,,,,
Lesotho,Lower middle income,2016-01-01,,,,,
Lesotho,Lower middle income,2017-01-01,1116,2339,3455,0.32301013024602027,0.6769898697539798
Lesotho,Lower middle income,2018-01-01,2438,4821,7259,0.3358589337374294,0.6641410662625706
Liberia,Low income,2014-01-01,,,,,
Liberia,Low income,2015-01-01,,,,,
Liberia,Low income,2016-01-01,,,,,
Liberia,Low income,2017-01-01,,,,,
Liberia,Low income,2018-01-01,,,,,
North Macedonia,Upper middle income,2014-01-01,1714,3746,5460,0.3139194139194139,0.6860805860805861
North Macedonia,Upper middle income,2015-01-01,1848,3896,5744,0.32172701949860727,0.6782729805013927
North Macedonia,Upper middle income,2016-01-01,1819,3710,5529,0.3289925845541689,0.6710074154458311
North Macedonia,Upper middle income,2017-01-01,1768,3491,5259,0.3361855866134246,0.6638144133865754
North Macedonia,Upper middle income,2018-01-01,1532,3594,5126,0.29886851346078813,0.7011314865392119
Malaysia,Upper middle income,2014-01-01,30571,68077,98648,0.3098998459167951,0.6901001540832049
Malaysia,Upper middle income,2015-01-01,29048,68567,97615,0.2975772166162987,0.7024227833837012
Malaysia,Upper middle income,2016-01-01,26899,63112,90011,0.2988412527357767,0.7011587472642232
Malaysia,Upper middle income,2017-01-01,32052,77343,109395,0.2929932812285753,0.7070067187714246
Malaysia,Upper middle income,2018-01-01,30301,74836,105137,0.28820491358893635,0.7117950864110637
Mali,Low income,2014-01-01,,,,,
Mali,Low income,2015-01-01,,,,,
Mali,Low income,2016-01-01,,,,,
Mali,Low income,2017-01-01,,,,,
Mali,Low income,2018-01-01,274,3005,3279,0.0835620616041476,0.9164379383958524
Malta,High income,2014-01-01,745,3429,4174,0.17848586487781504,0.821514135122185
Malta,High income,2015-01-01,691,4001,4692,0.14727195225916453,0.8527280477408354
Malta,High income,2016-01-01,766,3647,4413,0.17357806480852028,0.8264219351914798
Malta,High income,2017-01-01,748,3887,4635,0.16138079827400215,0.8386192017259978
Malta,High income,2018-01-01,931,4746,5677,0.16399506781750925,0.8360049321824907
Mauritania,Lower middle income,2014-01-01,,,,,
Mauritania,Lower middle income,2015-01-01,15,204,219,0.0684931506849315,0.9315068493150684
Mauritania,Lower middle income,2016-01-01,81,913,994,0.08148893360160966,0.9185110663983903
Mauritania,Lower middle income,2017-01-01,82,1040,1122,0.07308377896613191,0.9269162210338681
Mauritania,Lower middle income,2018-01-01,105,854,959,0.10948905109489052,0.8905109489051095
Mauritius,Upper middle income,2014-01-01,2363,4728,7091,0.33323931744464813,0.6667606825553518
Mauritius,Upper middle income,2015-01-01,2448,5497,7945,0.308118313404657,0.691881686595343
Mauritius,Upper middle income,2016-01-01,2950,5901,8851,0.33329567280533273,0.6667043271946673
Mauritius,Upper middle income,2017-01-01,2919,5838,8757,0.3333333333333333,0.6666666666666666
Mauritius,Upper middle income,2018-01-01,1645,6640,8285,0.19855159927579963,0.8014484007242003
Mexico,Upper middle income,2014-01-01,,,,,
Mexico,Upper middle income,2015-01-01,,,,,
Mexico,Upper middle income,2016-01-01,,,,,
Mexico,Upper middle income,2017-01-01,,,,,
Mexico,Upper middle income,2018-01-01,,,,,
Mongolia,Lower middle income,2014-01-01,5692,12029,17721,0.3212008351673156,0.6787991648326844
Mongolia,Lower middle income,2015-01-01,5351,10543,15894,0.33666792500314585,0.6633320749968542
Mongolia,Lower middle income,2016-01-01,6079,10750,16829,0.3612217006358072,0.6387782993641927
Mongolia,Lower middle income,2017-01-01,7373,12940,20313,0.3629695269039531,0.6370304730960469
Mongolia,Lower middle income,2018-01-01,8135,13950,22085,0.368349558523885,0.631650441476115
Morocco,Lower middle income,2014-01-01,7504,40582,48086,0.1560537370544441,0.8439462629455559
Morocco,Lower middle income,2015-01-01,8618,43438,52056,0.16555248194252345,0.8344475180574765
Morocco,Lower middle income,2016-01-01,10306,50219,60525,0.17027674514663363,0.8297232548533664
Morocco,Lower middle income,2017-01-01,7896,34739,42635,0.1851999530901841,0.8148000469098159
Morocco,Lower middle income,2018-01-01,11225,56003,67228,0.16696912000951986,0.8330308799904802
Myanmar,Lower middle income,2014-01-01,,,,,
Myanmar,Lower middle income,2015-01-01,,,,,
Myanmar,Lower middle income,2016-01-01,,,,,
Myanmar,Lower middle income,2017-01-01,,,,,
Myanmar,Lower middle income,2018-01-01,2949,7091,10040,0.2937250996015936,0.7062749003984063
Nepal,Low income,2014-01-01,2062,11240,13302,0.155014283566381,0.844985716433619
Nepal,Low income,2015-01-01,2392,11705,14097,0.16968149251613818,0.8303185074838618
Nepal,Low income,2016-01-01,3057,16175,19232,0.15895382695507487,0.8410461730449251
Nepal,Low income,2017-01-01,3276,18302,21578,0.15182129947168413,0.8481787005283159
Nepal,Low income,2018-01-01,3760,22700,26460,0.1421012849584278,0.8578987150415722
Netherlands,High income,2014-01-01,3722,18226,21948,0.16958264989976307,0.8304173501002369
Netherlands,High income,2015-01-01,3899,18133,22032,0.17696986201888162,0.8230301379811183
Netherlands,High income,2016-01-01,3886,18824,22710,0.17111404667547336,0.8288859533245266
Netherlands,High income,2017-01-01,4237,20056,24293,0.17441238216770263,0.8255876178322974
Netherlands,High income,2018-01-01,4697,21681,26378,0.1780650542118432,0.8219349457881568
Nigeria,Lower middle income,2014-01-01,,,,,
Nigeria,Lower middle income,2015-01-01,144300,299571,443871,0.3250944531181357,0.6749055468818643
Nigeria,Lower middle income,2016-01-01,162372,332884,495256,0.327854685253687,0.672145314746313
Nigeria,Lower middle income,2017-01-01,170520,336890,507410,0.3360595967757829,0.6639404032242171
Nigeria,Lower middle income,2018-01-01,178937,354579,533516,0.3353920032388907,0.6646079967611093
Norway,High income,2014-01-01,,,,,
Norway,High income,2015-01-01,1770,5570,7340,0.24114441416893734,0.7588555858310627
Norway,High income,2016-01-01,6000,20216,26216,0.22886786695148,0.77113213304852
Norway,High income,2017-01-01,6571,21862,28433,0.231104702282559,0.768895297717441
Norway,High income,2018-01-01,6843,21902,28745,0.23805879283353626,0.7619412071664637
Oman,High income,2014-01-01,1298,6215,7513,0.17276720351390923,0.8272327964860908
Oman,High income,2015-01-01,2308,12259,14567,0.15844031029038236,0.8415596897096176
Oman,High income,2016-01-01,2330,13307,15637,0.14900556372705762,0.8509944362729424
Oman,High income,2017-01-01,2229,11447,13676,0.1629862532904358,0.8370137467095642
Oman,High income,2018-01-01,1644,10265,11909,0.13804685531950625,0.8619531446804938
Pakistan,Lower middle income,2014-01-01,2013,10330,12343,0.1630883901806692,0.8369116098193308
Pakistan,Lower middle income,2015-01-01,2158,11677,13835,0.15598120708348392,0.844018792916516
Pakistan,Lower middle income,2016-01-01,2631,13999,16630,0.1582080577269994,0.8417919422730006
Pakistan,Lower middle income,2017-01-01,3554,19038,22592,0.15731232294617564,0.8426876770538244
Pakistan,Lower middle income,2018-01-01,5198,30817,36015,0.14432875190892683,0.8556712480910732
Philippines,Lower middle income,2014-01-01,,,,,
Philippines,Lower middle income,2015-01-01,,,,,
Philippines,Lower middle income,2016-01-01,,,,,
Philippines,Lower middle income,2017-01-01,,,,,
Philippines,Lower middle income,2018-01-01,,,,,
Poland,High income,2014-01-01,,,,,
Poland,High income,2015-01-01,,,,,
Poland,High income,2016-01-01,,,,,
Poland,High income,2017-01-01,,,,,
Poland,High income,2018-01-01,,,,,
Qatar,High income,2014-01-01,721,4719,5440,0.13253676470588235,0.8674632352941176
Qatar,High income,2015-01-01,1067,6665,7732,0.13799793067770305,0.862002069322297
Qatar,High income,2016-01-01,1271,8525,9796,0.12974683544303797,0.870253164556962
Qatar,High income,2017-01-01,1600,11309,12909,0.12394453482066775,0.8760554651793322
Qatar,High income,2018-01-01,1863,12975,14838,0.12555600485240598,0.874443995147594
Romania,Upper middle income,2014-01-01,29108,50033,79141,0.3677992443866011,0.6322007556133988
Romania,Upper middle income,2015-01-01,33708,53948,87656,0.3845486903349457,0.6154513096650543
Romania,Upper middle income,2016-01-01,38050,59196,97246,0.39127573370627067,0.6087242662937293
Romania,Upper middle income,2017-01-01,50719,77638,128357,0.3951401170173812,0.6048598829826188
Romania,Upper middle income,2018-01-01,47464,73628,121092,0.3919664387407921,0.6080335612592078
Rwanda,Low income,2014-01-01,,,,,
Rwanda,Low income,2015-01-01,,,,,
Rwanda,Low income,2016-01-01,,,,,
Rwanda,Low income,2017-01-01,,,,,
Rwanda,Low income,2018-01-01,,,,,
Samoa,Upper middle income,2014-01-01,122,216,338,0.3609467455621302,0.6390532544378699
Samoa,Upper middle income,2015-01-01,99,159,258,0.38372093023255816,0.6162790697674418
Samoa,Upper middle income,2016-01-01,62,109,171,0.36257309941520466,0.6374269005847953
Samoa,Upper middle income,2017-01-01,100,179,279,0.35842293906810035,0.6415770609318996
Samoa,Upper middle income,2018-01-01,85,167,252,0.3373015873015873,0.6626984126984127
Saudi Arabia,High income,2014-01-01,,,,,
Saudi Arabia,High income,2015-01-01,,,,,
Saudi Arabia,High income,2016-01-01,1322,7960,9282,0.14242620124973066,0.8575737987502693
Saudi Arabia,High income,2017-01-01,1815,10575,12390,0.14648910411622276,0.8535108958837773
Saudi Arabia,High income,2018-01-01,2435,14242,16677,0.14600947412604184,0.8539905258739582
Senegal,Lower middle income,2014-01-01,,,,,
Senegal,Lower middle income,2015-01-01,,,,,
Senegal,Lower middle income,2016-01-01,,,,,
Senegal,Lower middle income,2017-01-01,,,,,
Senegal,Lower middle income,2018-01-01,,,,,
Serbia,Upper middle income,2014-01-01,2514,6161,8675,0.28979827089337173,0.7102017291066283
Serbia,Upper middle income,2015-01-01,2392,5922,8314,0.2877074813567477,0.7122925186432524
Serbia,Upper middle income,2016-01-01,2308,6421,8729,0.26440600297857714,0.7355939970214228
Serbia,Upper middle income,2017-01-01,2474,6891,9365,0.26417512012813665,0.7358248798718633
Serbia,Upper middle income,2018-01-01,2381,6553,8934,0.2665099619431386,0.7334900380568614
Slovak Republic,High income,2014-01-01,,,,,
Slovak Republic,High income,2015-01-01,,,,,
Slovak Republic,High income,2016-01-01,,,,,
Slovak Republic,High income,2017-01-01,,,,,
Slovak Republic,High income,2018-01-01,,,,,
Slovenia,High income,2014-01-01,1141,2737,3878,0.29422382671480146,0.7057761732851986
Slovenia,High income,2015-01-01,1052,2787,3839,0.27402969523313364,0.7259703047668664
Slovenia,High income,2016-01-01,985,2510,3495,0.28183118741058655,0.7181688125894135
Slovenia,High income,2017-01-01,1043,2611,3654,0.28544061302681994,0.7145593869731801
Slovenia,High income,2018-01-01,950,2577,3527,0.26935072299404594,0.7306492770059541
Somalia,Low income,2014-01-01,,,,,
Somalia,Low income,2015-01-01,,,,,
Somalia,Low income,2016-01-01,,,,,
Somalia,Low income,2017-01-01,,,,,
Somalia,Low income,2018-01-01,,,,,
St. Lucia,Upper middle income,2014-01-01,,,,,
St. Lucia,Upper middle income,2015-01-01,108,178,286,0.3776223776223776,0.6223776223776224
St. Lucia,Upper middle income,2016-01-01,70,212,282,0.24822695035460993,0.75177304964539
St. Lucia,Upper middle income,2017-01-01,,,,,
St. Lucia,Upper middle income,2018-01-01,,,,,
Suriname,Upper middle income,2014-01-01,,,,,
Suriname,Upper middle income,2015-01-01,,,,,
Suriname,Upper middle income,2016-01-01,,,,,
Suriname,Upper middle income,2017-01-01,,,,,
Suriname,Upper middle income,2018-01-01,,,,,
Sweden,High income,2014-01-01,,,,,
Sweden,High income,2015-01-01,,,,,
Sweden,High income,2016-01-01,,,,,
Sweden,High income,2017-01-01,,,,,
Sweden,High income,2018-01-01,,,,,
"Taiwan, China",High income,2014-01-01,8875,15685,24560,0.3613599348534202,0.6386400651465798
"Taiwan, China",High income,2015-01-01,9029,15710,24739,0.36497028982578117,0.6350297101742188
"Taiwan, China",High income,2016-01-01,8924,15991,24915,0.3581778045354204,0.6418221954645795
"Taiwan, China",High income,2017-01-01,9200,16952,26152,0.3517895380850413,0.6482104619149587
"Taiwan, China",High income,2018-01-01,9094,16725,25819,0.352221232425733,0.647778767574267
Tajikistan,Low income,2014-01-01,78,2193,2271,0.034346103038309116,0.9656538969616909
Tajikistan,Low income,2015-01-01,99,1728,1827,0.054187192118226604,0.9458128078817734
Tajikistan,Low income,2016-01-01,72,1404,1476,0.04878048780487805,0.9512195121951219
Tajikistan,Low income,2017-01-01,73,1117,1190,0.06134453781512605,0.938655462184874
Tajikistan,Low income,2018-01-01,97,1150,1247,0.07778668805132317,0.9222133119486768
Thailand,Upper middle income,2014-01-01,,,,,
Thailand,Upper middle income,2015-01-01,,,,,
Thailand,Upper middle income,2016-01-01,,,,,
Thailand,Upper middle income,2017-01-01,,,,,
Thailand,Upper middle income,2018-01-01,,,,,
Togo,Low income,2014-01-01,147,935,1082,0.13585951940850277,0.8641404805914972
Togo,Low income,2015-01-01,246,1458,1704,0.1443661971830986,0.8556338028169014
Togo,Low income,2016-01-01,265,1395,1660,0.15963855421686746,0.8403614457831325
Togo,Low income,2017-01-01,302,1465,1767,0.17091114883984154,0.8290888511601585
Togo,Low income,2018-01-01,506,1628,2134,0.23711340206185566,0.7628865979381443
Turkey,Upper middle income,2014-01-01,11136,83338,94474,0.1178737007007219,0.8821262992992781
Turkey,Upper middle income,2015-01-01,10166,94594,104760,0.09704085528827797,0.902959144711722
Turkey,Upper middle income,2016-01-01,8775,90901,99676,0.0880352341586741,0.9119647658413259
Turkey,Upper middle income,2017-01-01,18056,95108,113164,0.15955604255770386,0.8404439574422962
Turkey,Upper middle income,2018-01-01,20922,105401,126323,0.1656230456844755,0.8343769543155245
United Arab Emirates,High income,2014-01-01,10954,102505,113459,0.09654588882327537,0.9034541111767246
United Arab Emirates,High income,2015-01-01,11879,106402,118281,0.10043033116054143,0.8995696688394585
United Arab Emirates,High income,2016-01-01,11165,117886,129051,0.0865161835243431,0.9134838164756569
United Arab Emirates,High income,2017-01-01,16795,156928,173723,0.09667689367556397,0.903323106324436
United Arab Emirates,High income,2018-01-01,16921,176241,193162,0.08760004555761486,0.9123999544423852
Vanuatu,Lower middle income,2014-01-01,,,,,
Vanuatu,Lower middle income,2015-01-01,,,,,
Vanuatu,Lower middle income,2016-01-01,292,825,1117,0.26141450313339304,0.738585496866607
Vanuatu,Lower middle income,2017-01-01,,,,,
Vanuatu,Lower middle income,2018-01-01,,,,,
Zambia,Lower middle income,2014-01-01,4611,17184,21795,0.2115622849277357,0.7884377150722642
Zambia,Lower middle income,2015-01-01,4627,15545,20172,0.22937735474915724,0.7706226452508428
Zambia,Lower middle income,2016-01-01,4041,13905,17946,0.22517552657973922,0.7748244734202607
Zambia,Lower middle income,2017-01-01,4059,14931,18990,0.21374407582938387,0.7862559241706161
Zambia,Lower middle income,2018-01-01,4481,16092,20573,0.21780975064404803,0.7821902493559519
