"Data Source","World Development Indicators",

"Last Updated Date","2020-07-01",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019",
"Cote d'Ivoire","CIV","Women Business and the Law Index Score (scale 1-100)","SG.LAW.INDX","","","","","","","","","","","45.6","45.6","45.6","45.6","45.6","45.6","45.6","45.6","45.6","45.6","45.6","45.6","45.6","45.6","48.8","48.8","48.8","48.8","48.8","48.8","48.8","48.8","48.8","48.8","48.8","63.1","63.1","63.1","63.1","69.4","69.4","69.4","69.4","69.4","69.4","69.4","69.4","69.4","69.4","69.4","69.4","69.4","69.4","78.1","78.1","78.1","78.1","78.1","78.1","83.1",
"Cameroon","CMR","Women Business and the Law Index Score (scale 1-100)","SG.LAW.INDX","","","","","","","","","","","48.1","48.1","48.1","48.1","48.1","48.1","48.1","48.1","48.1","48.1","48.1","48.1","48.1","48.1","48.1","48.1","48.1","48.1","48.1","48.1","48.1","48.1","48.1","50.6","50.6","50.6","50.6","50.6","50.6","50.6","50.6","50.6","50.6","50.6","50.6","50.6","50.6","50.6","50.6","50.6","50.6","50.6","50.6","50.6","50.6","50.6","50.6","56.9","56.9","56.9",
"Congo, Dem. Rep.","COD","Women Business and the Law Index Score (scale 1-100)","SG.LAW.INDX","","","","","","","","","","","23.1","23.1","23.1","23.1","23.1","23.1","23.1","23.1","23.1","23.1","23.1","23.1","23.1","23.1","23.1","23.1","23.1","23.1","25.6","25.6","25.6","25.6","25.6","25.6","25.6","25.6","25.6","25.6","25.6","28.1","28.1","28.1","28.1","42.5","42.5","42.5","42.5","42.5","42.5","42.5","42.5","42.5","42.5","42.5","42.5","42.5","48.8","70","70","78.8",
"Congo, Rep.","COG","Women Business and the Law Index Score (scale 1-100)","SG.LAW.INDX","","","","","","","","","","","40","40","40","40","40","40","40","40","40","40","40","40","40","40","40","46.3","46.3","46.3","46.3","46.3","46.3","46.3","46.3","46.3","46.3","46.3","46.3","46.3","46.3","46.3","46.3","46.3","46.3","46.3","46.3","46.3","46.3","46.3","46.3","46.3","46.3","46.3","46.3","46.3","46.3","46.3","46.3","46.3","46.3","46.3",
"Colombia","COL","Women Business and the Law Index Score (scale 1-100)","SG.LAW.INDX","","","","","","","","","","","51.3","51.3","51.3","51.3","51.3","56.9","59.4","59.4","59.4","59.4","59.4","59.4","59.4","59.4","59.4","59.4","59.4","59.4","59.4","59.4","59.4","59.4","59.4","59.4","59.4","59.4","59.4","61.9","61.9","61.9","61.9","61.9","64.4","66.9","66.9","66.9","73.1","73.1","73.1","73.1","73.1","73.1","78.8","78.8","78.8","78.8","78.8","81.9","81.9","81.9",
"Comoros","COM","Women Business and the Law Index Score (scale 1-100)","SG.LAW.INDX","","","","","","","","","","","35.6","35.6","35.6","35.6","35.6","35.6","35.6","35.6","35.6","35.6","35.6","35.6","38.1","38.1","43.8","43.8","43.8","43.8","43.8","43.8","43.8","43.8","43.8","43.8","43.8","43.8","43.8","43.8","43.8","43.8","43.8","43.8","43.8","43.8","43.8","43.8","43.8","43.8","43.8","43.8","43.8","43.8","43.8","56.3","56.3","58.8","58.8","58.8","58.8","58.8",
"Cabo Verde","CPV","Women Business and the Law Index Score (scale 1-100)","SG.LAW.INDX","","","","","","","","","","","36.9","36.9","36.9","36.9","36.9","36.9","36.9","39.4","39.4","39.4","39.4","41.9","60","63.1","63.1","63.1","63.1","63.1","63.1","63.1","63.1","63.1","63.1","63.1","63.1","63.1","63.1","63.1","63.1","63.1","63.1","63.1","63.1","63.1","78.1","78.1","78.1","78.1","86.3","86.3","86.3","86.3","86.3","86.3","86.3","86.3","86.3","86.3","86.3","86.3",
"Costa Rica","CRI","Women Business and the Law Index Score (scale 1-100)","SG.LAW.INDX","","","","","","","","","","","60.6","60.6","60.6","60.6","63.1","63.1","63.1","63.1","63.1","63.1","63.1","63.1","63.1","63.1","63.1","63.1","65.6","65.6","65.6","65.6","65.6","65.6","65.6","65.6","65.6","75","77.5","77.5","77.5","77.5","77.5","77.5","77.5","77.5","77.5","77.5","77.5","77.5","80","80","80","80","80","80","80","80","80","80","80","80",
"Caribbean small states","CSS","Women Business and the Law Index Score (scale 1-100)","SG.LAW.INDX","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cuba","CUB","Women Business and the Law Index Score (scale 1-100)","SG.LAW.INDX","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Curacao","CUW","Women Business and the Law Index Score (scale 1-100)","SG.LAW.INDX","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cayman Islands","CYM","Women Business and the Law Index Score (scale 1-100)","SG.LAW.INDX","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cyprus","CYP","Women Business and the Law Index Score (scale 1-100)","SG.LAW.INDX","","","","","","","","","","","60","60","60","63.1","63.1","63.1","63.1","63.1","63.1","63.1","65.6","65.6","65.6","65.6","65.6","65.6","65.6","68.1","68.1","68.1","71.3","73.8","73.8","73.8","73.8","76.3","76.3","76.3","76.3","76.3","76.3","76.3","76.3","85.6","85.6","85.6","85.6","85.6","88.8","88.8","88.8","88.8","88.8","88.8","88.8","88.8","88.8","88.8","91.3","91.3",
"Czech Republic","CZE","Women Business and the Law Index Score (scale 1-100)","SG.LAW.INDX","","","","","","","","","","","64.4","64.4","64.4","64.4","64.4","64.4","64.4","64.4","64.4","64.4","67.5","67.5","67.5","67.5","67.5","67.5","67.5","67.5","67.5","67.5","67.5","70","70","70","70","73.1","73.1","73.1","73.1","73.1","73.1","73.1","73.1","73.1","73.1","73.1","81.9","81.9","88.1","88.1","88.1","88.1","91.3","91.3","91.3","91.3","91.3","91.3","93.8","93.8",
"Germany","DEU","Women Business and the Law Index Score (scale 1-100)","SG.LAW.INDX","","","","","","","","","","","65","65","65","65","65","65","65","68.1","68.1","68.1","68.1","68.1","68.1","68.1","68.1","68.1","73.8","73.8","73.8","73.8","73.8","73.8","73.8","73.8","73.8","76.9","76.9","76.9","76.9","76.9","76.9","76.9","79.4","79.4","79.4","79.4","79.4","91.3","91.3","94.4","94.4","94.4","94.4","94.4","94.4","94.4","94.4","94.4","97.5","97.5",
"Djibouti","DJI","Women Business and the Law Index Score (scale 1-100)","SG.LAW.INDX","","","","","","","","","","","43.8","43.8","43.8","43.8","43.8","43.8","43.8","43.8","43.8","43.8","43.8","43.8","43.8","43.8","43.8","43.8","43.8","43.8","43.8","43.8","50","50","50","50","50","53.1","53.1","53.1","53.1","53.1","53.1","53.1","53.1","53.1","53.1","56.3","59.4","59.4","59.4","59.4","59.4","59.4","59.4","59.4","59.4","59.4","59.4","59.4","61.9","68.1",
"Dominica","DMA","Women Business and the Law Index Score (scale 1-100)","SG.LAW.INDX","","","","","","","","","","","48.8","48.8","48.8","53.8","53.8","53.8","60","60","60","60","60","60","60","60","60","60","60","60","60","60","60","60","60","60","60","60","60","60","60","60","60","60","62.5","62.5","62.5","62.5","62.5","62.5","62.5","62.5","62.5","62.5","62.5","62.5","62.5","62.5","62.5","62.5","62.5","62.5",
"Denmark","DNK","Women Business and the Law Index Score (scale 1-100)","SG.LAW.INDX","","","","","","","","","","","71.3","71.3","71.3","71.3","71.3","71.3","71.3","71.3","71.3","71.3","71.3","71.3","71.3","71.3","71.3","76.3","76.3","76.3","76.3","78.8","78.8","78.8","81.9","81.9","81.9","81.9","81.9","81.9","85","85","91.3","91.3","91.3","91.3","91.3","91.3","91.3","91.3","97.5","97.5","97.5","97.5","100","100","100","100","100","100","100","100",
"Dominican Republic","DOM","Women Business and the Law Index Score (scale 1-100)","SG.LAW.INDX","","","","","","","","","","","40","40","40","40","40","40","40","40","40","58.1","58.1","58.1","58.1","58.1","58.1","58.1","58.1","58.1","58.1","58.1","58.1","58.1","70","70","70","70","70","75.6","75.6","75.6","75.6","75.6","80.6","80.6","80.6","80.6","80.6","80.6","80.6","80.6","80.6","80.6","80.6","80.6","80.6","83.8","83.8","86.3","86.3","86.3",
"Algeria","DZA","Women Business and the Law Index Score (scale 1-100)","SG.LAW.INDX","","","","","","","","","","","32.5","32.5","32.5","32.5","32.5","32.5","32.5","32.5","32.5","32.5","32.5","32.5","32.5","35.6","38.1","38.1","38.1","38.1","38.1","38.1","43.8","43.8","43.8","43.8","43.8","43.8","43.8","40.6","40.6","40.6","40.6","40.6","40.6","40.6","40.6","55","55","55","55","55","55","55","55","55","55","55","57.5","57.5","57.5","57.5",
"East Asia & Pacific (excluding high income)","EAP","Women Business and the Law Index Score (scale 1-100)","SG.LAW.INDX","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Early-demographic dividend","EAR","Women Business and the Law Index Score (scale 1-100)","SG.LAW.INDX","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"East Asia & Pacific","EAS","Women Business and the Law Index Score (scale 1-100)","SG.LAW.INDX","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Europe & Central Asia (excluding high income)","ECA","Women Business and the Law Index Score (scale 1-100)","SG.LAW.INDX","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Europe & Central Asia","ECS","Women Business and the Law Index Score (scale 1-100)","SG.LAW.INDX","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Ecuador","ECU","Women Business and the Law Index Score (scale 1-100)","SG.LAW.INDX","","","","","","","","","","","34.4","51.9","51.9","51.9","51.9","51.9","51.9","51.9","51.9","51.9","51.9","51.9","51.9","51.9","51.9","51.9","51.9","51.9","51.9","58.1","63.8","63.8","63.8","63.8","63.8","63.8","66.3","66.3","66.3","75.6","75.6","75.6","78.8","78.8","78.8","78.8","81.3","81.3","81.3","84.4","84.4","84.4","84.4","84.4","84.4","84.4","89.4","89.4","89.4","89.4",
